name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_per_night,days_since_last_review
Modern 1 BR / NYC / EAST VILLAGE,21904,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,1,67,12.857142857142858,80.0
front room/double bed,32294,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,3,355,16.666666666666668,37.0
Spacious 1 bedroom in luxe building,32045,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1,255,26.0,24.0
Loft in Williamsburg Area w/ Roof,32169,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,3,284,13.75,23.0
back room/bunk beds,32294,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,3,359,16.666666666666668,7.0
Large B&B Style rooms,35935,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,2,269,70.0,57.0
"Lovely room 2 & garden; Best area, Legal rental",9744,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,3,340,22.25,17.0
Clean and Quiet in Brooklyn,7355,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,1,365,0.5833333333333334,0.0
Cute apt in artist's home,44145,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,2,22,42.5,16.0
Country space in the city,45445,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,1,365,150.0,0.0
LowerEastSide apt share shortterm 1,7549,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,4,188,40.0,3.0
ENJOY Downtown NYC!,46978,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2,96,34.0,17.0
Beautiful Sunny Park Slope Brooklyn,47610,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,1,345,40.0,42.0
1bdr w private bath. in lofty apt,47618,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,1,311,17.142857142857142,281.0
West Side Retreat,16800,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,1,273,33.75,22.0
BEST BET IN HARLEM,47727,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,1,309,21.428571428571427,25.0
Entire apartment in central Brooklyn neighborhood.,49670,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,1,95,5.172413793103448,33.0
"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,1,215,43.333333333333336,7.0
Charming Brownstone 3 - Near PRATT,50148,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,1,265,15.714285714285714,44.0
bright and stylish duplex,50846,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,1,0,38.333333333333336,918.0
Fort Greene brownstone ,52335,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,2,192,26.666666666666668,21.0
Blue Room for 2 in Brownstone for $1350 monthly,54275,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,3,251,80.0,22.0
Cozy 1BD on Central Park West in New York City,56094,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,1,302,75.5,1.0
* ORIGINAL BROOKLYN LOFT *,56104,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,1,140,76.0,52.0
Greenpoint Place...Has It All! ,56246,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,1,234,72.0,9.0
Beautiful Apartment in Manhattan!!!,56284,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,1,257,28.571428571428573,105.0
Williamsburg 1 bedroom Apartment,56512,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,1,30,5.0,16.0
"Great Location, Manhattan Bedroom!",59023,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,1,301,22.0,51.0
Best Location in NYC! TIMES SQUARE!,59734,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2,294,34.5,29.0
Room in Greenpoint Loft w/ Roof,32169,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,3,320,12.25,34.0
**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,1,154,6.0,9.0
"Very, very cozy place",60252,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,1,263,40.0,8.0
Sunny & Spacious Chelsea Apartment,60278,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,1,180,2.0833333333333335,247.0
2 bedroom - Upper East Side-great for kids,61491,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,2,231,125.0,100.0
Comfortable 4-bedroom apt in family house.,63588,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,2,297,6.666666666666667,163.0
Double Room w Private Deck Clinton Hill Best Area,63613,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,2,292,7.857142857142857,646.0
Your Heaven in Hells Kitchen,63924,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1,191,1.7333333333333334,53.0
Light-filled 2B duplex in the heart of Park Slope!,64056,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,1,0,75.0,652.0
"Sunny, Modern room in East Village!",64442,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,2,72,80.0,7.0
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1,362,275.0,15.0
Large Room in Amazing East Village Apt,4396,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,2,336,99.0,17.0
SpaHa Loft: Enormous and Bright,65837,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1,215,56.25,15.0
Lovely EV Artist's Home,66035,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,1,116,25.555555555555557,420.0
Cool Room in Hell's Kitchen,66243,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,1,88,7.285714285714286,37.0
"HARLEM, NEW YORK WELCOMES YOU!!",68428,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,2,336,32.5,20.0
BLUE TRIM GUEST HOUSE,68599,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,1,304,52.5,12.0
Charming East Village One Bedroom Flat,69829,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,1,224,38.0,187.0
Manhattan Room,69942,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1,322,200.0,2.0
Little King of Queens,70091,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,1,324,2.3333333333333335,38.0
Fort Greene Retreat on the Park,71512,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1,132,31.666666666666668,22.0
Beautiful Meatpacking District Loft,71876,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1,295,50.0,41.0
Cozy 2 BR in Williamsburg ,72014,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,4,238,48.333333333333336,77.0
Spacious luminous apt Upper West NYC,73051,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,1,209,3.5483870967741935,107.0
Entire 2 Bedroom - Large & Sunny,73128,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,1,328,57.0,8.0
"Sunny, Spacious Top Floor Haven",73469,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,1,38,21.666666666666668,23.0
Private room Great Deal at Lower East Side,44263,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,1,188,3.1333333333333333,91.0
perfect for a family or small group,74303,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,1,7,800.0,1068.0
2 bedroom Williamsburg Apt - Bedford L stop,74857,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,1,272,35.0,333.0
Oh glorious spring!,62407,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1,26,20.0,8.0
Great Location for NYC,76627,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,1,0,50.0,1240.0
Cozy Bedroom in Williamsburg 3 BR,72014,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,4,288,28.333333333333332,16.0
Sunny room+Pvte office in huge loft,961342,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,1,317,16.25,43.0
Spacious Prospect Heights Apartment,78460,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,1,207,32.75,11.0
"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,6,185,14.0,38.0
2-bed brownstone duplex + garden,79070,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,1,158,35.714285714285715,48.0
Charming 1 bed GR8 WBurg LOCATION!,79402,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1,0,20.0,351.0
Sunny Apartment in Artist Home,44145,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,2,9,35.0,20.0
Light-filled classic Central Park ,42032,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,1,198,46.666666666666664,1.0
"Upper Manhattan, New York",82685,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,1,365,89.0,272.0
COZY QUIET room 4 DOOGLERS!,83257,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,2,364,3.2666666666666666,68.0
The Stuydio Modern and Light Filled,87773,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,2,311,17.857142857142858,253.0
loft bed - near transportation-15min to times sq,32294,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,3,219,20.0,186.0
House On Henry (3rd FLR Suite),11481,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,3,342,87.5,14.0
Monkey Retreat Manhattan,63318,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,1,312,32.5,2440.0
2000 SF 3br 2bath West Village private  townhouse,93790,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,2,243,125.0,51.0
"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,1,152,33.666666666666664,40.0
Beautiful Duplex Apartment,97797,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,1,9,7.333333333333333,248.0
Large 2 Bedroom Great for Groups!,87773,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,2,137,1.3888888888888888,10.0
"Modern Brooklyn Apt., August sublet",105538,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,1,222,2.6666666666666665,408.0
"1,800 sq foot in luxury building",107628,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1,346,50.0,15.0
Sunny 2-story Brooklyn townhouse w deck and garden,109589,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,1,208,6.666666666666667,843.0
"Times Square, Safe, Clean and Cozy!",59734,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,2,279,29.5,22.0
"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,6,250,62.5,36.0
Beautiful Apartment East Village,112793,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,1,164,20.0,574.0
Park Slope Green Guest House,42273,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,2,192,4.0,190.0
2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,4,298,175.0,698.0
NYC fabulous views Manhattan's eye,115157,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,1,260,39.8,1314.0
2 story family home in Williamsburg,115307,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,1,107,108.33333333333333,15.0
Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,1,199,39.166666666666664,72.0
Great Large 1 BR apt  in East Village!,72062,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,4,299,225.0,31.0
Eveland Private Bed & Living Room w/ Own Entrance,118971,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3,20,49.5,49.0
Sugar Hill Rest Stop ,119510,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,1,318,85.0,7.0
3 Story Town House in Park Slope,119588,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,2,216,200.0,190.0
apartment next to Central park,119900,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,1,224,24.285714285714285,12.0
East Village Sanctuary,120223,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,1,0,25.0,2767.0
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,1,324,37.5,276.0
Modern Apt with Spectacular Views,6197784,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,1,245,90.0,2850.0
Garden studio in the Upper East Sid,124352,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,1,189,30.0,692.0
Secluded Master Bedroom in Beautiful Huge Apt,124797,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,1,307,5.666666666666667,690.0
B & B Room 1,35935,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2,310,23.333333333333332,55.0
ACCOMMODATIONS GALORE #1,126607,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,3,213,40.0,18.0
Sunny Room in New Condo,127608,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,1,278,29.666666666666668,5.0
Stylish & Sleek Apartment Near SoHo!,125857,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,1,209,37.0,13.0
NYC artists’ loft with roof deck,129352,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1,0,16.666666666666668,49.0
Unique & Charming small 1br Apt. LES,120335,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,1,16,35.0,24.0
Most Central Location!,117287,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,3,234,65.0,43.0
Luminous Beautiful West Village Studio,135619,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,1,12,3.9655172413793105,7.0
Sanctuary in East Flatbush,137292,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,1,178,38.5,188.0
Room with En Suite Bathroom & Deck,137814,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3,275,38.0,14.0
FLAT MACDONOUGH,137974,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2,163,41.666666666666664,15.0
Huge Private  Floor at The Waverly,116599,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,3,365,33.75,7.0
"Modern Greenpoint, Brooklyn Apt",138579,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,1,34,8.620689655172415,708.0
"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,1,280,66.33333333333333,392.0
"Sunny, Cobble Hill Apartment",139874,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,1,0,70.0,1170.0
Fully Furnished Basement Apartment,140025,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,1,1,70.0,2849.0
FLAT MACDONOUGH GARDEN,137974,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,2,170,38.333333333333336,18.0
Light filled Williamsburg Apartment,142833,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,1,188,53.333333333333336,6.0
Retreat in Williamsburg,143027,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,1,214,48.75,21.0
NYC Zen,143048,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,1,248,65.0,21.0
Cozy BR in Wiliamsburg 3 Bedroom,72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,4,262,26.666666666666668,16.0
Sunny Room in Old Historical Brooklyn Townhouse,149929,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,5,280,5.5,9.0
Sun Filled Classic West Village Apt,120291,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,1,307,39.0,16.0
Lg Rm in Historic Prospect Heights,62165,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,1,339,5.666666666666667,2250.0
Classic Artist Loft Williamsburg,142684,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1,1,41.666666666666664,25.0
Great location. Spacious on PROSPECT PARK,137432,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,1,269,7.666666666666667,315.0
Private Bdrm/Bathrm. New! Elevator!,157798,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,1,10,34.5,770.0
"Sunny, clean 1 bdrm in W. Village",158284,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1,312,5.0,99.0
Great location in Williamsburg,159370,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,1,189,20.833333333333332,193.0
Light and Airy Upper East Side 1 BDR apartment,92788,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2,290,54.75,12.0
Luxury Brownstone in Boerum Hill,165789,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,1,230,158.33333333333334,189.0
CENTRAL PARK LOFT all for YOU,168417,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2,164,99.0,30.0
Indie-Chic Share In Williamsburg,168525,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,2,53,17.25,41.0
"A room w/ a Manhattan view, longer stay",110506,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,1,126,2.6333333333333333,87.0
"Private, Large & Sunny 1BR w/W&D",170510,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2,3,67.5,16.0
Luxurious Condo in DUBMO with View,171851,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,1,189,83.33333333333333,2996.0
Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,1,365,83.33333333333333,1018.0
* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,1,0,125.0,2.0
Convenient cozy cheap apt Manhattan,181167,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,1,0,26.666666666666668,1344.0
Parlor Room In Victorian Townhouse,137814,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3,336,35.0,14.0
House On Henry (2nd FLR Suite),11481,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,3,342,82.5,20.0
New York room with a view,185978,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1,312,35.0,25.0
Sunny cozy room in Brklyn townhouse,177536,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,1,37,25.0,19.0
Room with a View,190409,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,3,353,40.0,4.0
Light+Open+Airy+Rustic+Modern Loft,193360,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1,177,75.0,1097.0
West Inn 2 - East Village,72062,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,4,310,125.0,15.0
Financial District Luxury Loft,193722,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1,0,65.33333333333333,18.0
BROOKLYN VICTORIAN STYLE SUITE.....,181376,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2,321,55.0,14.0
Your own Lovely West Village Studio,193637,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,1,246,56.666666666666664,37.0
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,3,231,55.0,43.0
Greenwich Village Stylish Apartment,201297,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,1,225,5.769230769230769,1174.0
Clean and Cozy Harlem Apartment,202249,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1,0,50.0,203.0
"Fort Greene, Brooklyn: Center Bedroom",67778,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,2,0,32.5,8.0
Beautiful Queens Brownstone! - 5BR,204539,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,5,365,43.75,57.0
Couldn't Be Closer To Columbia Uni,867225,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,2,233,24.75,55.0
Bright Spacious Luxury Condo,204724,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,1,1,50.0,91.0
Park Slope haven 15 mins from Soho,8198,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,1,18,30.0,33.0
SAFE  AND BEAUTIFUL ACCOMODATION,209460,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,4,343,30.0,50.0
Large Room in private Brownstone in Park Slope,210746,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,3,250,40.0,14.0
"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1,326,25.0,14.0
"LARGE, COMFY 1BDR W/CHARACTER!!!",214148,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,1,364,6.730769230769231,2499.0
Chelsea Studio sublet 1 - 2 months,214287,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,1,0,41.666666666666664,1452.0
LUX APT IN TIMES SQUARE NEW BUILDING,218404,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,1,299,275.0,12.0
Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1,207,149.5,23.0
Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,3,162,27.0,16.0
1 Bedroom in 2 Bdrm Apt- Upper East,236421,Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,2,0,9.285714285714286,0.0
